Set,ROC AUC,PR AUC,Loss
Training,0.900202854739664,0.43852804732507744,0.15276588879979136
Validation,0.8906561869867866,0.39952692349265256,0.15070055338186794
Test,0.8846833566682194,0.39048805255233787,0.1571132900788417
