Wall time,Step,Value
1733763808.4265337,0,0.23932915925979614
1733763990.4247122,1,0.1687093824148178
1733764172.8893406,2,0.1494797170162201
1733764354.405553,3,0.15642955899238586
1733764531.1169748,4,0.17127424478530884
1733764704.4115217,5,0.176386758685112
1733764872.1411881,6,0.15158827602863312
1733765039.6493785,7,0.10660717636346817
1733765208.5311623,8,0.1284526139497757
1733765376.357819,9,0.13474984467029572
